# Threat Intelligence Feed - Mixed Indicators
# Source: Indicators derived from pulses collected via the AlienVault OTX platform
# Format: CSV
# Description:
# This dataset contains threat intelligence indicators observed from various honeypot
# deployments and community threat feeds. Indicators may include IPv4 addresses or
# cryptographic file hashes associated with suspicious or malicious activity.
# Column : indicator,type,valid_from,name

# Data Source Platform:
# AlienVault Open Threat Exchange (OTX)

# Feed Context:
# The data originates from multiple honeypot sensors and threat intelligence pulses,
# including SSH brute-force monitoring and honeypot frameworks such as Cowrie,
# Honeytrap, CiscoASA honeypot logs, Dionaea, ConPot, Heralding, Tanner, and others.

119.18.55.217,ipv4-addr,2026-03-11 11:16:14,"OTX feed=Collection: subscription, pulse_name=SSH Brute-Force Honeypot Live"
8.216.9.226,ipv4-addr,2026-03-11 11:00:09,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
34.38.195.167,ipv4-addr,2026-03-11 11:00:09,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
8.216.7.37,ipv4-addr,2026-03-11 11:15:09,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
58.253.231.48,ipv4-addr,2026-03-11 10:45:23,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Dionaea"
67478f2e9fed7b040820bd89df46d135979abaf9d2e8860ba9ac39a6aaa5c625,SHA-256,2026-03-11 10:30:30,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
8.216.2.108,ipv4-addr,2026-03-11 10:30:20,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
209.50.163.134,ipv4-addr,2026-03-11 11:15:16,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa"
aac1495fb60fbabf5f326adaaebe467350922be50697f2e50450b1a0514acc16,SHA-256,2026-03-11 10:45:17,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
138.68.130.162,ipv4-addr,2026-03-11 11:14:07,"OTX feed=Collection: subscription, pulse_name=SSH Brute-Force Honeypot Live"
209.50.164.1,ipv4-addr,2026-03-11 10:30:05,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Ciscoasa"
beb6a3c9f79f3112893f64d56f533152db4bf56106222faa5315fbdb3a7ebd69,SHA-256,2026-03-11 11:00:26,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
152.42.249.106,ipv4-addr,2026-03-11 10:47:15,"OTX feed=Collection: subscription, pulse_name=SSH Brute-Force Honeypot Live"
8.209.215.33,ipv4-addr,2026-03-11 10:45:09,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
167.172.35.199,ipv4-addr,2026-03-11 10:45:17,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
188.166.84.116,ipv4-addr,2026-03-11 10:37:37,"OTX feed=Collection: subscription, pulse_name=SSH Brute-Force Honeypot Live"
161.35.177.200,ipv4-addr,2026-03-11 11:11:09,"OTX feed=Collection: subscription, pulse_name=SSH Brute-Force Honeypot Live"
68.183.43.112,ipv4-addr,2026-03-11 11:12:58,"OTX feed=Collection: subscription, pulse_name=SSH Brute-Force Honeypot Live"
43.106.140.249,ipv4-addr,2026-03-11 11:00:09,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
998a70756f75d26470c046d10fa5b797aaa53fbaee5efcccba3470cac7a4a258,SHA-256,2026-03-11 10:45:17,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
161.35.1.152,ipv4-addr,2026-03-11 11:15:09,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Honeytrap"
159.223.14.5,ipv4-addr,2026-03-11 10:30:30,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
165.232.101.23,ipv4-addr,2026-03-11 10:30:30,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
fe954293e47d70986b4b94dacf66257dc0aa31091b44b219d008ceb7d3d1710e,SHA-256,2026-03-11 10:30:30,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
eb3332e20abdd1d29adb6e499cf352c302a678dbb0c6e06c384b9f8fd8cc0f48,SHA-256,2026-03-11 10:45:17,"OTX feed=Collection: subscription, pulse_name=LCIA HoneyNet Data - March 2026 - Cowrie"
